genero,archivo,ax_mean,ax_std,ax_min,ax_max,ax_rms,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_rms,ay_energy,az_mean,az_std,az_min,az_max,az_rms,az_energy
salsa,salsa_segmento_001.csv,-7.27254861111111,9.55881744484859,-23.8391,7.7596,11.957922591488364,142.99191270402778,0.21697222222222223,3.032923956510959,-9.0549,7.094,3.0195936734563773,9.117945952777779,-11.172373611111112,8.454073748782724,-23.7792,6.7828,13.975000437830445,195.30063723736112
salsa,salsa_segmento_002.csv,-6.336536619718309,8.684378325233343,-22.4073,7.7596,10.70083603575368,114.50789186408451,-0.2107943661971831,2.6106528734556216,-6.4212,7.094,2.6007594302596515,6.763949614084508,-11.735260563380283,8.752077215062863,-25.9388,6.7828,14.602614113508176,213.2363389480282
salsa,salsa_segmento_003.csv,-5.78580985915493,8.520999978257999,-19.9054,7.0102,10.249897382262,105.0603963469014,-0.2026690140845071,2.364000363161173,-5.7964,4.6567,2.3560265726101375,5.5508612108450714,-12.454299999999998,8.705388644577729,-25.9388,4.561,15.160013278316494,229.82600259873243
salsa,salsa_segmento_004.csv,-4.721333802816902,8.998990997073644,-20.1783,9.3254,10.106049800086629,102.13224256183098,-0.13488732394366196,2.650384038691621,-5.7964,4.6567,2.635107781904475,6.943793022253522,-11.546763380281691,8.390372614614227,-25.9244,3.2896,14.238489072902185,202.73457107915493
salsa,salsa_segmento_005.csv,-6.28275352112676,9.403881079606457,-23.4057,9.3254,11.254351880319733,126.66043624605632,-0.8170605633802814,2.683653107052766,-6.4643,4.446,2.787139291106236,7.768145428028172,-12.373540845070423,9.247021660568452,-25.7544,5.0087,15.408036634272989,237.40759292309852
salsa,salsa_segmento_006.csv,-6.071794366197183,9.06786254717942,-23.4057,6.0358,10.85977455918575,117.93470347633806,0.045625352112676064,3.06777424149442,-6.4643,5.2768,3.046435262798561,9.280767810422537,-11.862700000000002,9.276347388184949,-25.7544,5.0087,15.018731357232015,225.56229158070423
salsa,salsa_segmento_007.csv,-5.757752112676056,9.340461116651255,-21.1887,8.3773,10.916369887376854,119.16713151802817,0.590625352112676,2.812999169403072,-5.8802,5.2768,2.854882209799729,8.150352431830983,-10.590161971830984,7.506544935937404,-21.7848,3.9552,12.950139404943283,167.70611060746475
salsa,salsa_segmento_008.csv,-5.493065277777777,9.543045409183335,-21.1887,8.7245,10.953475460574905,119.97862466541665,1.368286111111111,3.0566368581072223,-5.2577,7.2712,3.329485166533509,11.085471474166667,-11.153290277777778,7.832943949685726,-25.2277,6.7133,13.597747681504504,184.8987420098611
salsa,salsa_segmento_009.csv,-4.588877464788732,9.091645418093584,-21.8303,11.1857,10.126777146801736,102.55161538098591,1.9404464788732396,4.093262182445368,-5.2577,9.6702,4.5037922686660155,20.28414479929577,-10.27244084507042,7.620650505540426,-25.2277,6.7133,12.758503319620235,162.77940695676057
salsa,salsa_segmento_010.csv,-5.091559154929578,9.862110071604896,-24.0522,11.7843,11.036997482290394,121.81531342408451,1.4675408450704226,5.0668207749345,-8.9663,11.3318,5.240683348276388,27.46476195690141,-12.13353661971831,7.698898153970559,-23.3961,8.3151,14.340882547443776,205.66091223957747
salsa,salsa_segmento_011.csv,-4.802636619718308,8.889780075043467,-24.0522,11.7843,10.048902188207874,100.98043518816901,0.47843380281690134,4.305944028298678,-8.9663,11.3318,4.302198259586455,18.508909864788727,-11.588842253521127,8.474414527382018,-23.5566,8.3151,14.32150402730891,205.1054776042253
salsa,salsa_segmento_012.csv,-8.134554929577465,8.142409315198135,-23.7026,5.9616,11.468915686679756,131.53602702816897,-0.33286056338028175,2.5601230097945837,-5.9616,6.0478,2.5637302673648836,6.572712883802818,-11.359035211267607,8.056822571019254,-23.5566,5.0661,13.89337294750453,193.02581185845068
salsa,salsa_segmento_013.csv,-7.983114084507041,9.10021760443587,-23.7026,5.2936,12.057266569385087,145.37767712521122,0.3589985915492957,3.4062437069296707,-5.9616,6.687,3.4011704956415425,11.567960740422535,-10.51151971830986,7.858847737597954,-22.958,5.0661,13.091358006021794,171.38365444183094
salsa,salsa_segmento_014.csv,-6.510105633802817,9.194976232423059,-22.3714,9.1746,11.213306924395862,125.73825218070421,-0.14469718309859156,3.560518712650561,-6.1148,6.687,3.5383156089175904,12.519677348309859,-10.378159154929577,7.645869865836578,-24.5669,5.0015,12.858543566887711,165.34214266154933
salsa,salsa_segmento_015.csv,-7.0201972222222215,8.995687641308592,-22.1176,9.1746,11.36141025622602,129.0816430102778,-1.0265513888888889,2.9408755178119406,-6.857,4.1563,3.0955508482381253,9.582435054027778,-12.714209722222224,7.723366793327269,-24.5669,2.8539,14.848334781442853,220.47304578180558
salsa,salsa_segmento_016.csv,-5.841043661971831,9.03726153012756,-24.9811,7.9655,10.706987242647921,114.63957581422534,0.07782535211267604,3.3733729631893152,-6.857,6.5601,3.3504365748319773,11.225425241971832,-10.808069014084504,7.672081640999983,-24.0114,2.8539,13.222940922891613,174.8461666502817
salsa,salsa_segmento_017.csv,-7.221756338028168,9.403581380998752,-24.9811,6.529,11.804052349200933,139.33565186267606,0.9250028169014085,3.293866107261098,-6.517,6.5601,3.3988782745297637,11.552373525070422,-11.078145070422535,7.210479419899678,-22.6108,2.7557,13.190301128891829,173.98404387084506
salsa,salsa_segmento_018.csv,-6.484812676056338,9.565821069769026,-22.7952,6.9097,11.500822853727334,132.26892631281694,0.38783098591549287,2.770120784916455,-5.861,5.1882,2.7777515363593053,7.715903597746481,-11.387835211267605,7.833290429955229,-23.614,2.6647,13.790540171594666,190.1789982243662
salsa,salsa_segmento_019.csv,-6.109799999999999,8.80386733611996,-22.2996,6.9097,10.665180402243292,113.74607301239439,0.7477380281690141,2.6052743255264854,-4.7333,5.7365,2.692762247576238,7.250968521971831,-10.650522535211266,8.03354888815286,-23.614,2.6647,13.30648538853713,177.06255339535213
salsa,salsa_segmento_020.csv,-6.276246478873238,8.151229862994926,-20.1855,8.2744,10.241972837486086,104.89800760380281,1.8485253521126763,2.9442886186027692,-5.2768,6.4979,3.4588705053553106,11.963785172816902,-12.152664788732396,7.677858273672391,-23.772,1.7621,14.345957422980586,205.8064943819718
salsa,salsa_segmento_021.csv,-5.121297183098592,8.847331862140647,-19.7593,11.2647,10.168603501409288,103.40049716887324,0.7832070422535212,4.161595184655723,-9.3541,7.7907,4.2057531956112655,17.68835994239437,-10.624926760563383,7.516172656192926,-23.772,1.7621,12.984076636468615,168.58624610169014
salsa,salsa_segmento_022.csv,-7.156898611111111,9.578929548085274,-21.7034,11.2647,11.903894389564982,141.70270163791668,0.8941305555555554,4.437667106907554,-9.3541,9.0381,4.4965371620837296,20.21884645,-10.451820833333333,6.098922792717718,-19.5463,0.5459,12.079767999376063,145.92079491874998
salsa,salsa_segmento_023.csv,-6.16422676056338,8.922769179111505,-21.7034,6.517,10.793153012220815,116.49215194521126,1.9794971830985915,3.4418053846355456,-5.2936,9.0381,3.9493781777445762,15.597587990845069,-10.536883098591549,5.878384324260388,-19.5463,3.2226,12.045522483087373,145.09461189056339
salsa,salsa_segmento_024.csv,-6.332835211267606,8.244844357572774,-21.6077,6.2824,10.350112622623287,107.12483130098592,1.481138028169014,2.879315755838341,-3.9624,7.5178,3.2198543521429794,10.367462049014087,-9.806650704225351,6.2012212907706035,-20.3651,3.2226,11.579461203537294,134.08392176422535
salsa,salsa_segmento_025.csv,-7.16992676056338,7.93932814942635,-21.6077,6.2824,10.656124691885607,113.55299344901411,1.869433802816901,2.873173087220253,-3.9624,7.5178,3.4108117781424845,11.633636985915496,-11.17957323943662,6.454335215340766,-24.1336,1.652,12.886215978831745,166.0545622530986
salsa,salsa_segmento_026.csv,-4.3405183098591555,8.100101991409206,-20.9684,6.0142,9.139345911551107,83.52764369098593,2.236997183098592,2.9142584806906995,-4.4652,6.9121,3.657518358738209,13.37744054450704,-10.16554366197183,7.092216165199954,-24.1336,1.7765,12.366461255791242,152.9293639909859
salsa,salsa_segmento_027.csv,-5.119642253521127,8.529811564652226,-21.6987,6.0142,9.896649230983524,97.94366600112677,1.6278211267605633,2.998566006130049,-4.4652,7.0844,3.393311112185929,11.514560304084506,-9.16901408450704,6.994058338073126,-22.539,1.7765,11.502117264715553,132.2987015712676
salsa,salsa_segmento_028.csv,-7.478301408450705,8.409498766250543,-23.7577,5.1308,11.209309067561332,125.64860977211269,2.3061183098591544,3.249501458743209,-4.3694,8.5018,3.9659449594527216,15.72871942140845,-10.539715492957745,6.881367534450192,-20.6452,1.4054,12.560727489607,157.77187506816898
merengue,merengue_segmento_001.csv,-6.276624999999999,9.617871905647876,-26.9946,17.7746,11.428679324680909,130.61471110638888,5.445379166666666,4.3968586302437105,-1.8052,19.8527,6.979685881353194,48.71601500236111,-8.811695833333333,8.935918859575212,-27.6818,11.4898,12.505502491942186,156.38759257597223
merengue,merengue_segmento_002.csv,-7.097961971830985,8.470336080250318,-26.693,4.5083,11.005323351323351,121.11714206718304,4.528177464788732,3.11122484397554,-2.3631,11.1378,5.481585272297129,30.047777097464788,-10.982102816901408,5.472849584030291,-22.9508,-2.375,12.253032462722656,150.13680453253525
merengue,merengue_segmento_003.csv,-6.8371338028169015,9.384153598136196,-22.5917,10.1682,11.557180571432818,133.5684227607042,6.00985352112676,3.078451437925568,-2.3631,12.9,6.742531101433854,45.46172565380282,-7.950367605633803,4.684249378190541,-20.3723,-1.3695,9.21094416119782,84.8414923407042
merengue,merengue_segmento_004.csv,-5.203916901408451,9.682523001514282,-22.8886,10.1682,10.932134404002868,119.51156262718314,7.205269014084507,2.553663401166005,0.0551,12.9,7.63840627945385,58.345250490000005,-5.674794366197183,4.847912803609031,-22.946,1.8962,7.441406582356838,55.37453192394367
merengue,merengue_segmento_005.csv,-3.822625352112677,9.083651102136635,-24.0306,10.7117,9.79607222204066,95.96303097943662,7.695874647887324,2.6444135507960556,2.2122,12.5001,8.131476972235733,66.12091774999999,-4.378147887323944,4.776008312742801,-22.946,1.8962,6.454236060433708,41.65716312380283
merengue,merengue_segmento_006.csv,-3.0600166666666673,8.735448013326,-24.0306,11.9638,9.19847378309757,84.61191993833333,8.081062499999998,2.5055225798526357,2.2122,14.0228,8.455413948200093,71.49402503541667,-4.113738888888889,4.529042105966921,-18.9453,2.3032,6.095094590392616,37.15017806583333
merengue,merengue_segmento_007.csv,-2.776900000000001,8.271009392985668,-22.6132,11.9638,8.669328379228775,75.15725454690141,8.047621126760566,2.6299984285663687,2.715,15.1218,8.460713712436016,71.58367652380284,-4.334891549295775,4.696083913576943,-18.9453,2.3032,6.366622366587513,40.53388035873238
merengue,merengue_segmento_008.csv,-2.5507704225352117,8.686035408983356,-22.6132,14.9781,8.99394263369347,80.89100409816902,8.022492957746481,2.794663410978858,2.715,15.1218,8.48884767300562,72.06053481549296,-4.856521126760563,5.609964511777631,-19.7857,3.2298,7.390144509555458,54.61423587211267
merengue,merengue_segmento_009.csv,-3.064509859154929,8.736022673099093,-21.7801,14.9781,9.19969619691286,84.63441011549295,7.4308563380281685,2.44760868270192,2.7773,13.5584,7.818186290986126,61.12403688056339,-5.696047887323943,5.735503093685335,-19.7857,3.2298,8.054665318232185,64.87763338873239
merengue,merengue_segmento_010.csv,-3.841074647887323,8.096201239377079,-22.9125,9.6462,8.909495552965378,79.37911100830985,6.894830985915494,1.835080466868769,2.7773,11.8824,7.131534531961783,50.858784780563376,-5.436529577464789,4.426287683775339,-17.6979,1.0822,6.990846338253361,48.87193252507043
merengue,merengue_segmento_011.csv,-4.194177777777778,7.952963936004396,-23.535,8.5497,8.94216391267299,79.96229544111111,7.105427777777777,1.8696505165044655,3.5937,11.1953,7.343987136124052,53.934147055555556,-4.9750499999999995,4.412428176744589,-16.5368,1.798,6.6294973326707725,43.95023488388889
merengue,merengue_segmento_012.csv,-4.892294366197182,7.744976547707504,-24.2461,8.5497,9.114513234373927,83.07435149957746,7.49020985915493,2.064249426869239,3.8164,12.1721,7.765587780434511,60.3043535756338,-4.663769014084508,4.657574660534678,-15.5815,1.9345,6.567968323592792,43.13820789971832
merengue,merengue_segmento_013.csv,-5.623639436619718,7.48956160730155,-24.2461,6.6822,9.323561756170587,86.92880382112676,7.919780281690143,2.143093922454818,3.8259,14.0444,8.200675778285797,67.25108322056337,-4.457869014084507,4.53543992705044,-16.9821,1.9345,6.336646600207044,40.15309013591549
merengue,merengue_segmento_014.csv,-5.394470422535211,7.436379162034522,-19.1369,6.8283,9.144461529992958,83.62117667352113,7.981695774647885,2.1074483469309255,3.8259,14.0444,8.251439384140253,68.08625191014087,-5.074054929577465,4.1931125301512076,-16.9821,-0.3496,6.563580547392762,43.080589602112674
merengue,merengue_segmento_015.csv,-4.007249295774646,8.249552789106176,-21.3682,12.7324,9.11891689317585,83.15464530464789,7.3984253521126755,2.0348608558058574,1.9441,11.655,7.66935703019619,58.81903725661972,-5.098567605633803,3.919350184944097,-15.8879,-0.5052,6.414073672846628,41.14034108070423
merengue,merengue_segmento_016.csv,-3.531108450704225,9.209483123416806,-22.7425,12.7324,9.802486151496552,96.0887347502817,6.467549295774647,2.569292763381352,1.9441,12.7252,6.9525163523416085,48.33748362957746,-4.923421126760563,3.798684176994356,-16.2973,0.1484,6.202163945798546,38.46683761056339
merengue,merengue_segmento_017.csv,-3.161256338028169,8.8645134207731,-22.7425,12.5839,9.35234649260529,87.46638491774648,6.8720352112676055,2.5924905368114155,2.0423,12.7252,7.338338575955195,53.85121305535211,-5.795723943661973,4.65673999401374,-17.9278,0.1484,7.414190290608417,54.970217665352116
merengue,merengue_segmento_018.csv,-2.580913888888889,8.36866370976444,-18.3324,14.1162,8.701893296959383,75.72294695166666,7.852316666666667,1.759884630581717,3.8906,11.4491,8.044442452056229,64.71305436444443,-5.403416666666667,4.612254113664389,-17.9278,-0.0958,7.083384989164589,50.17434290472223
merengue,merengue_segmento_019.csv,-2.752519718309859,8.229717489190705,-20.5494,14.1162,8.622684949490443,74.35069573816901,7.9915084507042256,1.8059956071570111,3.1508,11.7005,8.190231323901303,67.0798891390141,-4.313612676056338,3.7753215346483904,-13.7643,1.5969,5.714854310306447,32.659559788028176
merengue,merengue_segmento_020.csv,-2.3652394366197185,9.21663520658595,-20.5494,22.5318,9.45221108811934,89.34429445436619,7.646474647887323,2.076283148232389,2.3918,11.7005,7.919520731879933,62.718808622676065,-4.117252112676056,3.241123129536566,-11.4563,1.5969,5.225771527335987,27.3086880559155
merengue,merengue_segmento_021.csv,-2.492905633802817,10.287458191727403,-25.5749,22.5318,10.51455114918717,110.55578586887324,6.251998591549296,3.167932028919675,-2.0446,11.2791,6.998709204319016,48.98193052661971,-3.4749943661971834,4.1729741677639165,-10.2999,9.5792,5.407775483583344,29.24403568084507
merengue,merengue_segmento_022.csv,-3.2789760563380286,9.134281960042692,-25.5749,11.9279,9.644254691397112,93.01164855253522,6.313540845070422,3.1574056232735246,-2.0446,11.1091,7.049084824287476,49.68959686,-3.853042253521127,4.252980431874032,-10.2089,9.5792,5.716556552286782,32.679018815492945
merengue,merengue_segmento_023.csv,-3.3649527777777783,7.904804441264822,-21.4856,12.4834,8.540549178315304,72.94098026722223,7.618851388888889,2.120769042414956,3.3926,11.5927,7.904561360300141,62.48209029875001,-4.290343055555557,2.899075328339661,-11.4706,1.5443,5.166715611851498,26.69495021375
merengue,merengue_segmento_024.csv,-3.1933253521126757,8.867287201534127,-23.116,14.6932,9.365824121811396,87.71866148070423,7.630459154929576,2.1257581510455084,3.0789,11.5927,7.917013887148094,62.67910888929578,-3.5195816901408445,2.858700775742608,-11.4706,1.98,4.521562164907916,20.44452441112676
merengue,merengue_segmento_025.csv,-3.6719943661971834,9.742111219822755,-24.4663,14.6932,10.346764274610985,107.05553095436619,7.490009859154928,2.1030313856196745,2.3415,10.9559,7.775647662558632,60.460696572253525,-3.837205633802817,2.9006435086465765,-10.8098,1.98,4.797851244252142,23.01937656197183
merengue,merengue_segmento_026.csv,-4.12952676056338,9.917317460194246,-24.4663,12.9957,10.67805791036849,114.0209207371831,7.354957746478871,2.1518615925792504,2.3415,12.1123,7.659026918555315,58.66069333915493,-4.595759154929579,3.177272039460332,-13.0005,0.7111,5.574394667837657,31.0738759128169
merengue,merengue_segmento_027.csv,-3.7374183098591547,9.536331096081373,-22.6468,11.5017,10.179834902373292,103.62903863957746,7.2317352112676065,2.1914146403700436,2.8108,12.4163,7.551996708827463,57.03265429014084,-4.137414084507042,3.2140777502505964,-13.0005,0.8715,5.225226690547084,27.30299396760563
merengue,merengue_segmento_028.csv,-3.3943472222222217,8.852130214653153,-23.365,11.5017,9.42302850263061,88.79346616138888,7.363836111111112,2.2492533776761303,3.0885,12.4163,7.695125547022897,59.214957184444444,-3.692656944444445,3.240411229763788,-12.2128,2.6169,4.897973380318186,23.990143234305556
electronica,electronica_segmento_001.csv,-1.2148597222222222,0.09662190965445604,-1.8387,-1.008,1.218642800128715,1.4850902743055556,0.029965277777777775,0.05579180403163937,-0.1628,0.1867,0.06298738740591026,0.003967410972222222,9.922233333333331,0.05370237228216635,9.7276,10.0533,9.922376641264487,98.4535582111111
electronica,electronica_segmento_002.csv,-0.9629718309859154,1.2056631284049335,-4.7094,2.6983,1.536380406972693,2.360464754929578,-0.015883098591549308,1.9142669325720574,-4.6064,6.0908,1.9008047354724174,3.6130586423943662,9.835074647887323,1.7104939744094234,4.3886,13.5895,9.980645002266517,99.6132746612676
electronica,electronica_segmento_003.csv,-1.689661971830986,3.4970497012018655,-10.2041,5.8754,3.8616149124937835,14.91206973239437,3.021111267605634,5.303045693549248,-4.6064,15.0021,6.070693393384225,36.85331827647888,8.448463380281687,3.319544521132786,-0.261,13.5895,9.068666210600972,82.24070683929578
electronica,electronica_segmento_004.csv,-4.394091666666666,6.666812547675619,-14.9662,9.651,7.945886996113146,63.137120155,6.582133333333333,5.335945664118267,-2.4373,15.0021,8.449931746058992,71.40134651305556,6.401830555555555,3.850346783051812,-4.1659,13.4363,7.456721777567911,55.60269966805556
electronica,electronica_segmento_005.csv,-5.276284507042254,8.095672004607469,-16.678,9.651,9.615403587422323,92.45598614901408,6.895504225352111,4.828887697461618,-1.7837,15.263,8.398673120117936,70.53771017859155,4.477291549295775,3.766822210251216,-5.5138,12.888,5.833973330500056,34.035244820985916
electronica,electronica_segmento_006.csv,-4.263167605633803,8.348236966582904,-19.2374,11.3605,9.321269553190673,86.88606608323944,6.601552112676056,4.2099434510575815,-1.3599,15.263,7.813736983824985,61.05448565239436,2.5777774647887326,3.088618784052055,-5.5138,10.2256,4.0062629178276055,16.05014256676056
electronica,electronica_segmento_007.csv,-4.427963380281691,8.780369275511942,-19.2374,11.3605,9.778338348932154,95.6159008661972,5.095605633802818,4.172425008343891,-1.5131,12.73,6.567277076922401,43.12912820507043,3.3081450704225346,4.51726454783008,-10.6614,14.619,5.573338216234074,31.062098872535213
electronica,electronica_segmento_008.csv,-4.118194366197184,8.810851127994509,-19.1321,12.5049,9.66939639773961,93.49722669661972,4.588780281690142,3.7661960048993626,-1.5131,12.5863,5.919574216154687,35.04135890056338,4.833995774647888,5.96558100883576,-10.6614,16.168,7.64554970408313,58.45443027760564
electronica,electronica_segmento_009.csv,-1.602748611111111,7.849414755828113,-17.662,13.5871,7.957787046337763,63.3263746748611,5.121769444444444,4.880539129525329,-3.7062,16.508,7.051337163636255,49.72135579527779,-0.7072166666666667,9.86681808543088,-22.563,16.168,9.823548965566816,96.50211427888888
electronica,electronica_segmento_010.csv,-0.8203,7.207462611983697,-15.3732,13.5871,7.203384914042783,51.88875421985915,5.359104225352113,5.685238255226968,-3.7062,16.508,7.783745474357282,60.586693609577466,-6.175957746478874,8.668158425437024,-22.563,12.8569,10.593448795590072,112.22115738478874
electronica,electronica_segmento_011.csv,-2.258170422535211,7.440887091285256,-15.3732,12.4331,7.725692219343726,59.68632026802819,5.9594070422535195,4.99145301983655,-1.6376,15.2846,7.751014490992613,60.078225639577475,-5.729760563380283,7.940376169399368,-22.0698,12.8569,9.746368947473806,94.99170766028166
electronica,electronica_segmento_012.csv,-1.6816084507042255,7.232629254936003,-14.1282,11.5975,7.375768388178708,54.40195931605633,5.946864788732394,4.644906892226877,-1.9561,15.1314,7.525721583970312,56.63648535943662,-5.635781690140845,8.251567896368195,-23.4081,10.7476,9.944416365067935,98.89141684183097
electronica,electronica_segmento_013.csv,-0.5953450704225353,6.700198755426987,-14.1282,12.4259,6.679431718479574,44.61480808183099,6.382036619718312,4.2565531517293405,-1.9561,15.1314,7.654635824347248,58.59344960338027,-6.072301408450705,8.177271736456795,-23.4081,10.7476,10.13897518620491,102.79881782647888
electronica,electronica_segmento_014.csv,-1.2009746478873238,6.397717652764222,-10.4986,12.4259,6.465032192724005,41.79664125295775,6.453897183098592,4.0300859802232445,-1.6352,13.0245,7.593788713606759,57.665627026901404,-5.839794366197183,7.825323270910507,-19.8479,10.7212,9.71989753583042,94.47640810704225
electronica,electronica_segmento_015.csv,-2.942742253521126,6.506809716765133,-12.6127,10.0197,7.099435663180123,50.40198673563379,6.281580281690141,4.512149240205974,-1.6352,14.2647,7.715632716125155,59.53098821014084,-4.654561971830985,6.973179010411785,-17.832,12.4498,8.34297970330255,69.6053103297183
electronica,electronica_segmento_016.csv,-3.9662986111111107,7.333138669092444,-14.9494,12.1194,8.292139258701246,68.75957348569445,6.367280555555555,4.755283245177948,-1.5131,15.1553,7.927226177985869,62.84091487694444,-3.786890277777778,5.529207876287518,-16.2471,12.4498,6.669937380755118,44.48806466319444
electronica,electronica_segmento_017.csv,-3.9769098591549294,8.18088539653179,-18.1696,12.2368,9.044338875985462,81.80006570366196,6.360145070422536,4.563311232295775,-1.5131,15.1553,7.809094802180123,60.98196162943661,-3.59548309859155,5.241300244132064,-14.2766,8.1044,6.325488775870365,40.011808253661975
electronica,electronica_segmento_018.csv,-4.000176056338028,8.217642785781349,-18.1696,16.453,9.087350524977168,82.57993956380282,6.544264788732394,4.78789543411593,-1.8555,18.0188,8.088786799072224,65.42847188084508,-4.0720760563380285,5.32659477949937,-14.2766,13.441,6.674938284422192,44.55480110084507
electronica,electronica_segmento_019.csv,-3.3666859154929583,7.623461639688284,-17.0276,16.453,8.284515059570689,68.63318977225353,6.872070422535212,5.44979316452585,-3.6966,18.1289,8.74684423726557,76.5072841109859,-5.210030985915495,5.688493977083203,-14.5017,13.441,7.684245346747725,59.047626549014076
electronica,electronica_segmento_020.csv,-3.128678873239437,7.844858280462898,-15.1912,23.8055,8.394262742886935,70.4636469966197,6.672198591549295,5.545408435285975,-3.8235,18.1289,8.6508189363945,74.83666827028168,-6.277091549295774,6.178386404341845,-17.1592,10.2065,8.77705512220181,77.03669661816903
electronica,electronica_segmento_021.csv,-3.15635,7.673850012556361,-15.1912,23.8055,8.248189547392943,68.03263080972222,6.3530125,4.888306924878325,-3.8235,14.6812,7.995275470751114,63.92442985319445,-6.423972222222222,6.683733088104307,-17.9182,10.2831,9.236842461607514,85.31925866055555
electronica,electronica_segmento_022.csv,-2.4534140845070427,6.517782986684436,-11.8728,15.5408,6.921156320674406,47.90240481521128,6.735197183098591,4.666420435775212,-2.1883,15.7467,8.175063539917604,66.83166388169015,-6.129122535211268,7.110164913100463,-17.9182,10.2831,9.3492541790889,87.40855370521126
electronica,electronica_segmento_023.csv,-2.841243661971832,7.275451513936288,-13.6134,19.0483,7.762688735797232,60.25933640887323,7.085085915492957,5.218571937179086,-3.9504,17.4705,8.777719816022357,77.04836516859154,-5.107845070422535,6.601157056018691,-17.8823,15.0835,8.309730409670848,69.05161948140845
electronica,electronica_segmento_024.csv,-3.5114478873239436,8.286692294945107,-13.6134,19.0483,8.946080854261597,80.0323626509859,6.399564788732396,5.463351271782303,-3.9504,17.4705,8.389412334645629,70.38223932070423,-4.61804647887324,6.149291119094971,-14.1018,15.0835,7.655556549321489,58.60754607985915
electronica,electronica_segmento_025.csv,-3.6952014084507043,8.227610120398493,-12.6103,19.0004,8.966306441504091,80.39465120295776,6.192885915492958,5.003636389018799,-3.9313,15.4234,7.9394954528645165,63.03558804605634,-4.627316901408451,5.52184440679499,-14.1018,13.4003,7.174495101075204,51.4733799553521
electronica,electronica_segmento_026.csv,-3.9038458333333335,8.33369998183918,-15.7131,19.0004,9.150189977847152,83.72597663069445,6.1896708333333335,4.699697786311206,-3.4046,15.4234,7.7519299665649575,60.09241820652778,-5.2802444444444445,5.126978323683258,-13.7619,6.8187,7.334971444161638,53.801806086666666
electronica,electronica_segmento_027.csv,-3.531277464788732,8.261050763988754,-15.7131,18.7131,8.930491791759065,79.75368364267605,5.36044366197183,4.44898272756922,-4.0749,13.2471,6.946151640682206,48.249022615352104,-7.067481690140846,6.348365122686759,-22.3403,5.3822,9.470132366253715,89.68340703436618
electronica,electronica_segmento_028.csv,-3.5023478873239435,7.891967788777563,-14.3724,16.8983,8.583260963035986,73.67236875957745,5.416998591549295,4.269319050738418,-4.0749,13.2591,6.878534683244067,47.31423938859156,-5.967056338028169,6.819239188161104,-22.3403,9.4763,9.025121958990244,81.4528263746479
