genero,archivo,ax_mean,ax_std,ax_min,ax_max,ax_rms,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_rms,ay_energy,az_mean,az_std,az_min,az_max,az_rms,az_energy,magnitud_mean,magnitud_std,magnitud_min,magnitud_max,magnitud_rms,magnitud_energy
salsa,salsa_segmento_001.csv,-7.27254861111111,9.492204665042449,-23.8391,7.7596,11.957922591488364,142.99191270402778,0.21697222222222223,3.0117883404319317,-9.0549,7.094,3.0195936734563773,9.117945952777779,-11.172373611111112,8.395159625111912,-23.7792,6.7828,13.975000437830445,195.30063723736112,15.998935069609015,9.56266555582707,1.9589980959664048,33.71047228888969,18.638951040607587,347.4104958941667
salsa,salsa_segmento_002.csv,-6.336536619718309,8.623003857766351,-22.4073,7.7596,10.70083603575368,114.50789186408451,-0.2107943661971831,2.5922027986374903,-6.4212,7.094,2.6007594302596515,6.763949614084508,-11.735260563380283,8.69022430421676,-25.9388,6.7828,14.602614113508176,213.2363389480282,15.701240372967888,9.379724472311564,1.9589980959664048,32.827040204380296,18.2895647959758,334.50818042619727
salsa,salsa_segmento_003.csv,-5.78580985915493,8.46078014255228,-19.9054,7.0102,10.249897382262,105.0603963469014,-0.2026690140845071,2.3472934374668806,-5.7964,4.6567,2.3560265726101375,5.5508612108450714,-12.454299999999998,8.64386569242792,-25.9388,4.561,15.160013278316494,229.82600259873243,15.876863595159882,9.400130985106843,1.9883501955138587,31.93644416149049,18.450941985613603,340.4372601564789
salsa,salsa_segmento_004.csv,-4.721333802816902,8.935393090637339,-20.1783,9.3254,10.106049800086629,102.13224256183098,-0.13488732394366196,2.6316531747350065,-5.7964,4.6567,2.635107781904475,6.943793022253522,-11.546763380281691,8.331075952056894,-25.9244,3.2896,14.238489072902185,202.73457107915493,15.187175472073429,9.008901589188923,1.9883501955138587,31.189320219107053,17.658159775674232,311.81060666323947
salsa,salsa_segmento_005.csv,-6.28275352112676,9.337421723303796,-23.4057,9.3254,11.254351880319733,126.66043624605632,-0.8170605633802814,2.664687123059078,-6.4643,4.446,2.787139291106236,7.768145428028172,-12.373540845070423,9.181670865287675,-25.7544,5.0087,15.408036634272989,237.40759292309852,16.55867345496617,9.881624765643647,2.14655005299201,33.06212242990458,19.283054078573315,371.836174597183
salsa,salsa_segmento_006.csv,-6.071794366197183,9.003777909908383,-23.4057,6.0358,10.85977455918575,117.93470347633806,0.045625352112676064,3.0460935864919074,-6.4643,5.2768,3.046435262798561,9.280767810422537,-11.862700000000002,9.210789341348777,-25.7544,5.0087,15.018731357232015,225.56229158070423,15.95397983991786,9.912027549142469,2.14655005299201,33.06212242990458,18.78237905238484,352.77776286746484
salsa,salsa_segmento_007.csv,-5.757752112676056,9.274449963582885,-21.1887,8.3773,10.916369887376854,119.16713151802817,0.590625352112676,2.7931190675072846,-5.8802,5.2768,2.854882209799729,8.150352431830983,-10.590161971830984,7.453494483653263,-21.7848,3.9552,12.950139404943283,167.70611060746475,15.014461473282035,8.342034597426066,2.5443346694175277,29.903405144397855,17.176250887703173,295.023594557324
salsa,salsa_segmento_008.csv,-5.493065277777777,9.476542540372455,-21.1887,8.7245,10.953475460574905,119.97862466541665,1.368286111111111,3.035335993313936,-5.2577,7.2712,3.329485166533509,11.085471474166667,-11.153290277777778,7.778358309404935,-25.2277,6.7133,13.597747681504504,184.8987420098611,15.712619153429197,8.311223585533872,2.775976811862808,32.7451881184091,17.775343545187656,315.96283814944445
salsa,salsa_segmento_009.csv,-4.588877464788732,9.027392701890179,-21.8303,11.1857,10.126777146801736,102.55161538098591,1.9404464788732396,4.064334172029192,-5.2577,9.6702,4.5037922686660155,20.28414479929577,-10.27244084507042,7.566793643366351,-25.2277,6.7133,12.758503319620235,162.77940695676057,14.831453260591772,8.102046736221899,2.775976811862808,32.7451881184091,16.900152873185565,285.6151671370423
salsa,salsa_segmento_010.csv,-5.091559154929578,9.792412307288604,-24.0522,11.7843,11.036997482290394,121.81531342408451,1.4675408450704226,5.031012405565245,-8.9663,11.3318,5.240683348276388,27.46476195690141,-12.13353661971831,7.644488297952469,-23.3961,8.3151,14.340882547443776,205.66091223957747,17.236015151876348,7.6066266705322425,3.6816836162277715,31.398502235138544,18.839877590381615,354.9409876205634
salsa,salsa_segmento_011.csv,-4.802636619718308,8.82695398691472,-24.0522,11.7843,10.048902188207874,100.98043518816901,0.47843380281690134,4.27551294713405,-8.9663,11.3318,4.302198259586455,18.508909864788727,-11.588842253521127,8.414523921602974,-23.5566,8.3151,14.32150402730891,205.1054776042253,15.904075914380531,8.464938981871292,1.4696747021024754,31.398502235138544,18.016515275079783,324.5948226571831
salsa,salsa_segmento_012.csv,-8.134554929577465,8.084865065408078,-23.7026,5.9616,11.468915686679756,131.53602702816897,-0.33286056338028175,2.5420300409611563,-5.9616,6.0478,2.5637302673648836,6.572712883802818,-11.359035211267607,7.999883182124186,-23.5566,5.0661,13.89337294750453,193.02581185845068,15.637854426920974,9.30548551623453,1.4696747021024754,30.953616324429685,18.197102840024357,331.13455177042255
salsa,salsa_segmento_013.csv,-7.983114084507041,9.035904306651137,-23.7026,5.2936,12.057266569385087,145.37767712521122,0.3589985915492957,3.3821710115971597,-5.9616,6.687,3.4011704956415425,11.567960740422535,-10.51151971830986,7.803307481665322,-22.958,5.0661,13.091358006021794,171.38365444183094,15.490081552765496,9.401418286415035,0.8977468072903406,30.953616324429685,18.119859058708617,328.3292923074647
salsa,salsa_segmento_014.csv,-6.510105633802817,9.129993253964269,-22.3714,9.1746,11.213306924395862,125.73825218070421,-0.14469718309859156,3.5353557209301005,-6.1148,6.687,3.5383156089175904,12.519677348309859,-10.378159154929577,7.5918347727345,-24.5669,5.0015,12.858543566887711,165.34214266154933,14.978267839575297,8.902334790183287,0.8977468072903406,30.49460457015306,17.424123283269186,303.60007219056337
salsa,salsa_segmento_015.csv,-7.0201972222222215,8.932999158814534,-22.1176,9.1746,11.36141025622602,129.0816430102778,-1.0265513888888889,2.920381362082369,-6.857,4.1563,3.0955508482381253,9.582435054027778,-12.714209722222224,7.669544766226708,-24.5669,2.8539,14.848334781442853,220.47304578180558,17.018680422294818,8.336764392131416,3.8924250654315746,30.869958550020762,18.950913535925153,359.13712384611114
salsa,salsa_segmento_016.csv,-5.841043661971831,8.97339315717104,-24.9811,7.9655,10.706987242647921,114.63957581422534,0.07782535211267604,3.349532572843615,-6.857,6.5601,3.3504365748319773,11.225425241971832,-10.808069014084504,7.617861303349387,-24.0114,2.8539,13.222940922891613,174.8461666502817,15.096156166955732,8.533301628875156,2.689815346822157,32.43667091888439,17.341025566744282,300.7111677064789
salsa,salsa_segmento_017.csv,-7.221756338028168,9.337124142733995,-24.9811,6.529,11.804052349200933,139.33565186267606,0.9250028169014085,3.2705876098638424,-6.517,6.5601,3.3988782745297637,11.552373525070422,-11.078145070422535,7.159521329636358,-22.6108,2.7557,13.190301128891829,173.98404387084506,15.790529688520062,8.69087115394988,2.689815346822157,32.43667091888439,18.024207867714782,324.8720692585915
salsa,salsa_segmento_018.csv,-6.484812676056338,9.49821724689828,-22.7952,6.9097,11.500822853727334,132.26892631281694,0.38783098591549287,2.750543714270016,-5.861,5.1882,2.7777515363593053,7.715903597746481,-11.387835211267605,7.777930793300997,-23.614,2.6647,13.790540171594666,190.1789982243662,15.765081711941779,9.034712322521864,2.578258871797012,32.49852397525156,18.170410786081025,330.1638281349296
