timestamp,ax,ay,az
136434,-6.0238,7.1922,-0.8499
136462,-3.6727,7.9009,0.0144
136490,-1.4868,8.3749,-1.4676
136518,0.9313,8.9495,-3.0454
136546,1.2426,9.4212,-2.8371
136574,1.5562,9.6223,-3.553
136603,1.4365,9.086,-3.4165
136631,2.2146,7.8985,-3.0406
136659,4.2952,9.5409,-4.7932
136687,2.3511,9.9407,-5.7724
136715,4.9249,8.8562,-6.7109
136743,7.4915,11.0349,-10.6159
136771,10.7117,12.323,-12.5456
136799,9.4379,12.481,-11.5401
136827,6.8426,12.2439,-9.2727
136855,5.0518,11.5544,-8.0948
136883,4.7214,9.7707,-6.4356
136912,3.8906,10.5201,-7.094
136940,2.8036,10.7236,-7.2329
136968,2.1596,9.8617,-5.9256
136996,0.4932,7.7333,-3.5769
137024,-0.6847,6.5553,-2.241
137052,-3.7852,3.9768,-1.2546
137080,-7.6231,2.7533,-0.7901
137108,-12.0716,2.2122,-1.0942
137136,-18.4569,2.8156,-0.5986
137164,-20.9277,6.6846,-0.8284
137193,-24.0306,10.1227,-2.2362
137221,-23.5829,9.8114,-1.4485
137249,-17.6979,6.7971,1.0774
137277,-14.3868,4.8291,1.3264
137305,-11.9997,4.5993,-0.7661
137333,-8.2791,5.7078,-1.8316
137361,-6.1435,6.7612,-1.8555
137389,-3.6344,6.4308,-1.7047
137417,-2.9712,7.3406,-2.9066
137445,-1.4796,6.4117,-2.8204
137474,0.9433,7.683,-6.098
137502,0.2873,10.6542,-8.4994
137530,0.9409,9.6845,-10.4746
137558,5.2337,10.4866,-11.1091
137586,4.561,10.7404,-12.9407
137614,6.8618,11.9207,-16.1561
137642,11.9638,14.0228,-18.9453
137670,9.3518,11.2432,-15.2774
137698,6.9001,9.3254,-10.6734
137726,2.557,9.1722,-8.1235
137754,0.6369,8.7221,-5.8419
137783,0.34,7.2856,-2.1739
137811,-0.2969,7.2808,-0.7949
137839,-1.2258,7.106,0.1413
137867,-1.6544,5.6479,1.1564
137895,-5.5713,5.8658,0.2729
137923,-8.26,5.7078,1.1708
137951,-9.3948,4.063,2.3032
137979,-8.7388,3.9863,1.8747
138007,-8.2384,4.9512,0.5387
138035,-15.1314,7.4148,-2.5977
138063,-18.6365,10.0245,-2.7725
138092,-20.7122,10.5465,-1.8316
138120,-20.1783,10.3693,-1.4916
138148,-16.611,8.181,0.1532
138176,-12.9814,6.11,0.4836
138204,-8.4491,5.9304,-1.585
138232,-3.0622,5.964,-2.7246
138260,-1.2785,7.1491,-3.8571
138288,-0.7374,7.0988,-3.565
138316,0.5363,6.3351,-2.8156
138344,2.1045,7.2401,-3.5506
138372,0.6871,8.6526,-4.7597
138401,0.4334,8.5234,-4.3694
138429,2.8802,7.908,-3.4764
