timestamp,ax,ay,az
143458,-9.7276,5.0111,-0.5531
143486,-17.2933,6.8378,-1.7717
143514,-23.3746,9.7899,-1.3886
143542,-24.2461,11.2384,-3.4453
143571,-18.2654,9.4858,-0.2801
143599,-13.6589,7.9368,1.9345
143627,-11.6646,7.252,0.4238
143655,-8.2169,6.9695,-0.7278
143683,-5.521,6.7828,-0.9218
143711,-4.5825,6.256,-0.5938
143739,-4.695,5.9065,-1.221
143767,-2.2146,5.0877,-0.9505
143795,-2.2553,5.5498,-2.3104
143824,-3.2561,6.1076,-4.3167
143852,-3.881,6.7995,-6.517
143880,-3.3208,6.0071,-7.2616
143908,-0.9098,7.8817,-8.3438
143936,0.7805,9.7779,-10.5441
143964,1.7957,9.6079,-10.7212
143992,4.1539,10.9846,-12.8617
144020,5.0973,12.1721,-15.4043
144048,1.5347,11.6167,-15.5815
144076,2.5594,11.2982,-14.382
144105,2.1883,8.916,-10.2663
144133,1.6161,7.4819,-7.343
144161,-1.6352,6.3183,-4.7597
144189,-2.6217,6.0956,-2.3679
144217,-2.5881,6.1603,-1.3288
144245,-1.3336,6.4643,-0.8523
144273,-2.1284,6.7636,-1.4916
144301,-6.11,6.6224,-1.8675
144329,-6.2944,7.0294,-1.2594
144357,-6.7947,6.2944,-0.5602
144386,-10.3501,7.0892,-0.4932
144414,-12.6581,8.1882,-2.4349
144442,-17.0324,10.0173,-4.3766
144470,-18.5311,11.1067,-5.8945
144498,-16.3739,10.1131,-3.8642
144526,-11.2408,8.4108,-0.6895
144554,-9.4308,8.1211,-2.3559
144582,-8.418,7.7859,-3.0742
144610,-6.3877,7.2496,-1.6688
144639,-5.2936,7.3191,-1.8579
144667,-4.7142,7.5393,-2.0686
144695,-3.486,6.4212,-1.6975
144723,-2.5091,7.3167,-3.0215
144751,-2.8874,8.7197,-4.209
144779,-3.5961,7.9847,-3.2561
144807,-4.5969,7.4747,-3.5003
144835,-2.2577,9.2488,-5.9496
144863,0.34,10.1275,-7.75
144891,2.8084,10.568,-10.6901
144920,3.9241,11.9686,-14.042
144948,6.3015,14.0444,-16.9821
144976,6.6822,12.3182,-15.1649
145004,5.4181,9.4236,-10.7428
145032,3.5314,7.6303,-7.0437
145060,2.8252,7.0892,-4.8411
145088,1.9441,6.1172,-3.1388
145116,-0.1724,5.7317,-1.8292
145144,-2.4062,5.1763,-1.6328
145172,-3.7038,4.6136,-0.3496
145200,-5.7604,4.5107,-1.0032
145229,-6.5218,3.8259,-0.9481
145257,-11.0612,5.2816,-1.9297
145285,-16.3189,6.4787,-4.2593
145313,-16.2949,7.2353,-2.3679
145341,-18.9286,9.2488,-3.9097
145369,-19.1369,9.9551,-5.4731
145397,-13.9558,8.8107,-1.47
145425,-12.1649,7.5393,-0.6919
