timestamp,ax,ay,az
141435,-1.7621,7.3239,-3.7565
141463,-2.8084,7.1682,-2.885
141491,-3.7469,6.2465,-2.2482
141519,-5.4277,5.873,-2.241
141547,-8.2935,5.7221,-2.8754
141576,-7.0318,4.4987,-2.047
141604,-6.3231,3.5937,-0.2849
141632,-8.7053,4.1683,-1.8316
141660,-11.746,5.3127,-3.8451
141688,-15.9957,6.0741,-3.3878
141716,-22.1081,8.2935,-4.1276
141744,-22.9125,9.0525,-3.2585
141772,-16.3093,7.1443,0.565
141800,-12.2392,5.5713,1.0822
141828,-11.3294,5.1811,-0.3472
141857,-8.9064,5.0877,-0.7829
141885,-6.1459,5.5522,-0.9984
141913,-5.0494,5.9855,-1.5682
141941,-4.3311,6.5027,-2.6384
141969,-1.9058,7.2592,-3.5386
141997,-2.4397,7.264,-3.8786
142025,-2.4301,7.683,-5.0302
142053,-1.9968,8.2121,-6.1435
142081,-2.7222,7.6543,-7.9631
142110,-0.2251,9.007,-10.0269
142138,2.1691,8.1283,-11.6454
142166,2.4804,8.1355,-12.8497
142194,5.272,9.1315,-15.6557
142222,7.5346,10.5082,-16.5368
142250,8.1283,9.5624,-13.7331
142278,6.9959,6.6224,-8.9998
142306,5.3391,6.2297,-5.9113
142334,4.6352,7.0844,-5.3056
142362,3.4069,7.5561,-4.9488
142390,2.7414,7.3071,-4.877
142418,-0.3112,7.8697,-5.3199
142447,-1.7454,7.197,-4.7381
142475,-4.2138,7.015,-3.5267
142503,-4.4628,6.517,-2.2697
142531,-5.8921,4.4843,-1.4269
142559,-11.7316,4.9273,-1.9345
142587,-12.6797,5.7293,-3.2465
142615,-17.3484,7.1395,-2.7342
142643,-23.535,10.7428,-4.7309
142671,-23.4512,10.6135,-3.9313
142700,-17.5734,7.0725,0.182
142728,-14.0228,4.5298,0.7159
142756,-11.9782,3.8834,0.1077
142784,-8.7412,4.9105,-0.905
142812,-5.5952,5.7293,-1.6496
142840,-3.225,5.8826,-1.5083
142868,-2.5714,6.7684,-2.5331
142896,-1.6903,7.0246,-3.2729
142924,-1.822,7.4484,-5.0494
142952,-1.1684,9.1674,-6.8761
142981,-0.6249,9.2201,-8.5281
143009,1.822,10.3525,-11.0085
143037,2.8826,11.0157,-11.8106
143065,6.019,9.0381,-11.9734
143093,7.5753,10.9654,-14.4131
143121,8.5497,11.1953,-15.4378
143149,7.501,9.7875,-13.0676
143177,4.4293,7.4867,-9.5433
143205,2.8323,7.6926,-7.434
143233,3.292,6.9599,-5.545
143261,1.0511,6.4739,-5.0254
143290,-0.7997,7.5585,-5.4971
143318,-2.1284,6.948,-4.6974
143346,-2.2553,6.1076,-2.3056
143374,-6.4308,5.4085,-3.0742
143402,-10.5441,5.2146,-1.4724
143430,-7.2042,3.8164,1.798
