timestamp,ax,ay,az
96622,-5.0039,-1.3647,-4.9344
96650,-4.8123,-2.6671,-5.3989
96678,-8.7795,-3.6368,-9.2943
96706,-12.1673,-0.6393,-13.8265
96734,-15.5839,-1.3312,-16.4482
96763,-17.8823,0.7566,-20.1807
96791,-20.1855,3.8762,-22.4289
96819,-18.8759,4.3503,-23.5111
96847,-14.9638,4.3574,-22.2613
96875,-15.0691,5.0542,-20.4992
96903,-12.8976,3.2657,-20.4992
96931,-10.5824,2.5379,-19.8264
96959,-6.699,2.399,-18.2606
96988,-5.4636,3.8666,-16.0172
97016,-5.442,5.7365,-14.3556
97044,-3.7134,4.8147,-11.1953
97072,-1.2426,3.565,-7.8243
97100,0.9697,3.7445,-5.4109
97128,3.6416,3.4213,-4.628
97156,5.272,2.5115,-4.6184
97184,5.9209,1.7885,-4.367
97212,5.4277,0.0838,-3.7014
97240,3.1029,-1.154,-2.7629
97268,1.5706,-1.2953,-0.996
97297,-0.7326,-1.5874,-1.075
97325,-2.9832,-0.9098,-2.2601
97353,-4.7573,-0.5674,-2.4804
97381,-6.9264,-0.5363,-4.2952
97409,-10.908,1.0487,-7.4747
97437,-14.4059,2.375,-9.6798
97465,-16.1896,2.1644,-11.8561
97493,-16.2878,2.3248,-13.0891
97522,-16.769,3.0047,-16.0603
97550,-17.7291,4.9057,-18.8017
97578,-17.0467,5.1787,-19.9245
97606,-17.164,4.3024,-21.6053
97634,-15.1266,4.0151,-23.2884
97662,-11.6143,5.0709,-23.3722
97690,-7.331,5.0589,-20.7505
97718,-5.533,5.7341,-16.8791
97747,-4.3503,6.4979,-13.0819
97775,-2.7054,5.8395,-10.0221
97803,0.6584,5.8466,-8.2528
97831,3.3064,4.7022,-6.8881
97859,3.5338,4.6208,-6.5912
97887,4.3311,3.2633,-5.9879
97915,5.3941,1.6448,-5.4109
97943,4.7046,-0.5794,-3.7014
97971,3.0694,-2.8252,-0.6345
97999,0.419,-3.4405,1.7621
98027,-1.9201,-5.2768,1.3431
98056,-6.3518,-4.0342,-3.5003
98084,-7.0078,-0.7661,-6.9959
98112,-6.189,-2.4876,-6.0549
98140,-9.6079,-1.5562,-8.3175
98168,-12.4594,-1.5945,-10.9894
98196,-15.0619,-3.3782,-15.4929
98224,-18.1864,-1.1684,-20.231
98253,-18.8424,1.6281,-23.5015
98281,-17.686,3.0478,-23.5709
98309,-15.5072,4.1372,-23.772
98337,-10.2975,5.193,-22.9053
98365,-8.2408,4.391,-21.0019
98393,-5.9233,3.134,-20.8343
98421,-0.4693,2.8084,-21.3874
98449,1.9537,4.1803,-19.7546
98477,2.1237,4.0366,-15.8712
98506,2.2075,3.122,-12.0428
98534,4.6519,2.3008,-9.4092
98562,5.5282,1.8579,-7.3047
98590,8.2744,0.4764,-6.2968
