timestamp,ax,ay,az
87625,-16.441,9.3709,-17.9062
87653,-15.4618,11.3318,-17.6165
87681,-11.995,10.2615,-17.3867
87710,-10.1969,9.5672,-17.5327
87738,-6.6942,7.6638,-18.9405
87766,-0.34,6.7756,-19.2207
87794,4.8722,6.9216,-19.4026
87822,8.272,6.2082,-18.2893
87850,10.3022,5.1619,-17.5902
87878,11.7843,3.565,-16.0364
87906,11.0612,2.6217,-13.872
87934,10.1658,0.012,-10.7428
87962,6.4835,-1.312,-7.5274
87991,5.035,-2.3391,-7.0581
88019,3.9313,-4.5346,-3.201
88047,0.6847,-6.1268,2.7605
88075,-1.3671,-7.8817,7.92
88103,-0.1149,-6.2321,8.3151
88131,0.3328,-5.9664,2.6121
88159,-2.7126,-6.7253,-0.9888
88187,-7.4508,-8.9663,-7.2472
88215,-12.7587,-4.2449,-16.5918
88244,-16.5032,-5.4684,-19.4912
88272,-19.3164,-3.9744,-22.6491
88300,-20.7577,0.1508,-22.3499
88328,-24.0522,-0.0096,-20.1831
88356,-20.7649,0.7015,-23.3961
88384,-16.4434,2.4325,-20.0514
88412,-12.457,1.1181,-18.8304
88440,-7.9176,0.2514,-21.0378
88469,-3.8499,2.0446,-23.2549
88497,-0.2203,2.7533,-21.2102
88525,1.0343,4.1468,-16.9964
88553,0.1245,3.2657,-13.2926
88581,1.9944,3.5338,-9.9431
88609,2.2194,3.3327,-7.9559
88637,2.7605,2.3631,-5.612
88665,1.8387,0.0934,-3.4357
88693,0.3567,-0.6728,-1.257
88721,-1.4629,-1.008,2.3774
88749,-1.4461,-1.7047,4.4436
88778,-2.7773,-2.375,-0.0958
88806,-5.1284,-2.0183,-5.5258
88834,-6.0597,-2.976,-5.7557
88862,-7.9535,-0.7566,-10.6231
88890,-8.916,-0.5411,-13.6422
88918,-13.8936,-1.4844,-15.4234
88946,-17.686,-1.5874,-18.4545
88975,-19.5295,-0.2083,-21.9572
89003,-19.5319,3.7158,-23.5566
89031,-17.9134,4.5131,-20.7146
89059,-16.4194,1.3072,-18.6963
89087,-13.1801,0.8308,-16.9198
89115,-7.5322,1.1708,-15.4043
89143,-5.8323,3.2274,-16.4769
89171,-4.1563,2.6336,-17.006
89200,0.4741,2.6647,-16.3428
89228,2.5283,3.9816,-15.6844
89256,3.8642,3.0574,-13.7427
89284,5.9616,0.9074,-9.7181
89312,3.814,1.47,-6.9121
89340,2.6911,1.1205,-5.454
89368,0.6847,-0.7302,-3.3902
89396,-0.7973,-1.4676,0.6393
89424,-2.3415,-1.6496,2.7461
89452,-3.0909,-1.8387,-1.1971
89480,-2.5259,-3.9409,-3.9169
89509,-4.276,-4.853,-5.193
89537,-9.6151,-2.2841,-10.5991
89565,-9.414,-2.1979,-12.0069
89593,-14.9638,-4.2042,-12.1147
