timestamp,ax,ay,az
84617,-5.0494,-1.7813,-9.1818
84645,-10.3166,-2.6528,-11.1953
84674,-17.3675,-0.0407,-14.3173
84702,-19.6684,-0.1724,-16.5846
84730,-20.5231,0.7039,-19.9916
84758,-18.2702,2.229,-21.0283
84786,-16.441,2.7749,-21.7848
84814,-13.3692,2.8778,-21.3946
84842,-12.6486,2.411,-19.3044
84870,-10.0772,1.8842,-18.9166
84899,-5.7748,1.8004,-18.1696
84927,-2.8778,1.2522,-15.5479
84955,-1.1205,0.8619,-13.0867
84983,0.577,3.8188,-12.1721
85011,3.2298,4.3048,-11.4132
85039,4.5897,3.3423,-10.4148
85067,6.4835,1.6855,-7.6614
85095,8.3773,1.7645,-5.5952
85123,7.2616,1.7095,-3.8164
85151,7.3694,1.0223,-2.9449
85179,7.082,-0.814,-1.98
85208,6.6224,-2.7581,0.0814
85236,3.0143,-4.5418,0.1772
85264,-2.7414,-3.9193,-3.79
85292,-5.4588,-1.8483,-6.371
85320,-7.2089,-3.1603,-7.8027
85348,-10.8984,0.8284,-9.8761
85376,-11.5568,-1.549,-10.0245
85404,-17.3292,-0.1987,-13.5105
85433,-18.9262,0.1006,-16.2375
85461,-20.231,1.4341,-17.516
85489,-19.2566,1.9273,-16.7642
85517,-21.1887,2.6408,-16.6804
85545,-20.662,2.7414,-17.5303
85573,-16.7211,1.4724,-18.5575
85601,-10.5967,3.3782,-18.0858
85629,-7.6974,4.9632,-17.4202
85658,-8.0182,6.4763,-15.4833
85686,-7.082,6.5266,-14.6812
85714,-4.7405,6.4859,-12.4403
85742,-2.0662,5.7652,-9.7995
85770,-0.5004,3.0646,-5.4899
85798,0.6129,3.0861,-3.7637
85826,1.7095,3.4069,-3.2801
85854,1.2474,2.6719,-0.7949
85882,1.6999,1.6975,1.391
85910,2.6791,-0.6081,4.4604
85938,2.4445,-2.4588,6.7133
85966,1.9393,-3.7445,4.47
85995,-0.3974,-5.2577,-0.4357
86023,-4.5442,-4.8339,-5.8969
86051,-5.3175,-2.1356,-8.6718
86079,-5.545,-4.8028,-9.2847
86107,-10.9008,-1.3336,-15.5049
86135,-13.3213,-0.4836,-18.8017
86163,-17.4322,0.1844,-19.8599
86192,-20.9134,4.0749,-23.3028
86220,-19.3212,7.2712,-24.7177
86248,-19.9509,6.1459,-25.2277
86276,-17.2933,5.43,-23.9277
86304,-10.4124,3.292,-20.7458
86332,-4.3766,2.6145,-18.6077
86360,0.2298,1.8076,-16.6565
86388,2.7821,3.5554,-13.6589
86416,2.5905,5.2002,-10.8697
86444,5.8107,4.8483,-9.651
86473,7.9942,3.4884,-6.687
86501,8.6981,4.8123,-5.7197
86529,8.7245,3.4237,-4.6759
86557,7.5058,1.5634,-3.4931
86585,5.8658,-0.8787,-1.7358
86613,3.4692,-2.332,0.2035
