timestamp,ax,ay,az
95638,-1.0582,1.7358,-11.9686
95666,3.45,0.9385,-10.058
95694,6.9097,1.5754,-7.4986
95722,6.5745,1.9321,-5.3726
95750,5.9711,1.4054,-4.0486
95779,6.7038,-0.067,-3.5051
95807,4.8961,-0.4956,-2.9281
95835,3.2034,-1.7166,-1.1085
95863,0.7949,-2.3128,0.8164
95891,-2.873,-1.9632,1.7286
95919,-4.4987,-1.6424,-0.3974
95947,-2.8515,-2.7007,-2.7892
95975,-4.5586,-3.8451,-5.0973
96003,-8.8585,-3.0095,-9.5553
96032,-10.0245,-1.7478,-13.1178
96060,-15.603,-1.3647,-16.6469
96088,-19.8575,-1.1133,-19.7091
96116,-21.5095,-0.1508,-21.7394
96144,-21.8255,-0.6033,-22.8383
96172,-22.2996,1.1229,-23.614
96200,-18.9405,-1.3192,-23.4919
96229,-13.0652,-0.0766,-23.1328
96257,-9.2392,0.9218,-21.2868
96285,-8.8562,1.9273,-20.1975
96313,-7.8099,3.2729,-18.3587
96341,-3.984,4.1755,-15.3492
96369,-0.0311,3.4477,-12.6198
96397,2.478,0.7542,-8.3534
96425,3.1484,1.0774,-6.1938
96453,5.1858,0.656,-4.5753
96481,4.3551,0.2921,-2.9951
96510,4.0797,-1.5993,-1.2282
96538,3.1388,-3.5674,0.8595
96566,0.6823,-3.8618,2.6647
96594,-2.2649,-4.7333,-0.6321
96622,-5.0039,-1.3647,-4.9344
96650,-4.8123,-2.6671,-5.3989
96678,-8.7795,-3.6368,-9.2943
96706,-12.1673,-0.6393,-13.8265
96734,-15.5839,-1.3312,-16.4482
96763,-17.8823,0.7566,-20.1807
96791,-20.1855,3.8762,-22.4289
96819,-18.8759,4.3503,-23.5111
96847,-14.9638,4.3574,-22.2613
96875,-15.0691,5.0542,-20.4992
96903,-12.8976,3.2657,-20.4992
96931,-10.5824,2.5379,-19.8264
96959,-6.699,2.399,-18.2606
96988,-5.4636,3.8666,-16.0172
97016,-5.442,5.7365,-14.3556
97044,-3.7134,4.8147,-11.1953
97072,-1.2426,3.565,-7.8243
97100,0.9697,3.7445,-5.4109
97128,3.6416,3.4213,-4.628
97156,5.272,2.5115,-4.6184
97184,5.9209,1.7885,-4.367
97212,5.4277,0.0838,-3.7014
97240,3.1029,-1.154,-2.7629
97268,1.5706,-1.2953,-0.996
97297,-0.7326,-1.5874,-1.075
97325,-2.9832,-0.9098,-2.2601
97353,-4.7573,-0.5674,-2.4804
97381,-6.9264,-0.5363,-4.2952
97409,-10.908,1.0487,-7.4747
97437,-14.4059,2.375,-9.6798
97465,-16.1896,2.1644,-11.8561
97493,-16.2878,2.3248,-13.0891
97522,-16.769,3.0047,-16.0603
97550,-17.7291,4.9057,-18.8017
97578,-17.0467,5.1787,-19.9245
97606,-17.164,4.3024,-21.6053
