timestamp,ax,ay,az
86641,2.1021,-3.9911,0.8715
86669,-2.2793,-3.1939,-2.8826
86697,-4.6232,-3.4788,-5.6168
86725,-5.0015,-5.1691,-7.1587
86754,-5.952,-0.9673,-10.5465
86782,-8.0685,0.9697,-12.1194
86810,-10.4244,-2.2697,-11.5137
86838,-15.785,-1.336,-14.0659
86866,-17.9948,2.4924,-19.1153
86894,-16.3261,6.1555,-20.4441
86922,-19.2709,7.8985,-16.9629
86950,-21.8303,8.5593,-16.4889
86979,-17.8775,9.6702,-18.2318
87007,-12.8856,8.2193,-16.7115
87035,-8.2744,6.2297,-15.026
87063,-4.3814,4.9752,-14.1018
87091,-1.1277,5.7628,-14.1737
87119,3.8978,6.8115,-14.9255
87147,6.6726,6.936,-12.9574
87175,9.2153,5.9256,-12.4642
87203,11.1857,3.6296,-10.8721
87232,9.8162,2.2146,-8.7269
87260,8.5186,0.0311,-6.5864
87288,7.1611,-1.6735,-4.8123
87316,2.9281,-2.5522,-2.5426
87344,-0.1532,-3.6751,0.158
87372,-3.0023,-3.4884,0.4501
87400,-5.6503,-3.7182,-0.4405
87428,-8.0637,-2.6025,-4.2042
87456,-8.734,-2.0758,-8.4348
87485,-11.7699,-1.0846,-12.1865
87513,-15.0787,1.3671,-14.5137
87541,-15.2343,4.3598,-17.1976
87569,-16.5439,6.4189,-15.67
87597,-17.1473,7.434,-15.0811
87625,-16.441,9.3709,-17.9062
87653,-15.4618,11.3318,-17.6165
87681,-11.995,10.2615,-17.3867
87710,-10.1969,9.5672,-17.5327
87738,-6.6942,7.6638,-18.9405
87766,-0.34,6.7756,-19.2207
87794,4.8722,6.9216,-19.4026
87822,8.272,6.2082,-18.2893
87850,10.3022,5.1619,-17.5902
87878,11.7843,3.565,-16.0364
87906,11.0612,2.6217,-13.872
87934,10.1658,0.012,-10.7428
87962,6.4835,-1.312,-7.5274
87991,5.035,-2.3391,-7.0581
88019,3.9313,-4.5346,-3.201
88047,0.6847,-6.1268,2.7605
88075,-1.3671,-7.8817,7.92
88103,-0.1149,-6.2321,8.3151
88131,0.3328,-5.9664,2.6121
88159,-2.7126,-6.7253,-0.9888
88187,-7.4508,-8.9663,-7.2472
88215,-12.7587,-4.2449,-16.5918
88244,-16.5032,-5.4684,-19.4912
88272,-19.3164,-3.9744,-22.6491
88300,-20.7577,0.1508,-22.3499
88328,-24.0522,-0.0096,-20.1831
88356,-20.7649,0.7015,-23.3961
88384,-16.4434,2.4325,-20.0514
88412,-12.457,1.1181,-18.8304
88440,-7.9176,0.2514,-21.0378
88469,-3.8499,2.0446,-23.2549
88497,-0.2203,2.7533,-21.2102
88525,1.0343,4.1468,-16.9964
88553,0.1245,3.2657,-13.2926
88581,1.9944,3.5338,-9.9431
88609,2.2194,3.3327,-7.9559
