timestamp,ax,ay,az
97634,-15.1266,4.0151,-23.2884
97662,-11.6143,5.0709,-23.3722
97690,-7.331,5.0589,-20.7505
97718,-5.533,5.7341,-16.8791
97747,-4.3503,6.4979,-13.0819
97775,-2.7054,5.8395,-10.0221
97803,0.6584,5.8466,-8.2528
97831,3.3064,4.7022,-6.8881
97859,3.5338,4.6208,-6.5912
97887,4.3311,3.2633,-5.9879
97915,5.3941,1.6448,-5.4109
97943,4.7046,-0.5794,-3.7014
97971,3.0694,-2.8252,-0.6345
97999,0.419,-3.4405,1.7621
98027,-1.9201,-5.2768,1.3431
98056,-6.3518,-4.0342,-3.5003
98084,-7.0078,-0.7661,-6.9959
98112,-6.189,-2.4876,-6.0549
98140,-9.6079,-1.5562,-8.3175
98168,-12.4594,-1.5945,-10.9894
98196,-15.0619,-3.3782,-15.4929
98224,-18.1864,-1.1684,-20.231
98253,-18.8424,1.6281,-23.5015
98281,-17.686,3.0478,-23.5709
98309,-15.5072,4.1372,-23.772
98337,-10.2975,5.193,-22.9053
98365,-8.2408,4.391,-21.0019
98393,-5.9233,3.134,-20.8343
98421,-0.4693,2.8084,-21.3874
98449,1.9537,4.1803,-19.7546
98477,2.1237,4.0366,-15.8712
98506,2.2075,3.122,-12.0428
98534,4.6519,2.3008,-9.4092
98562,5.5282,1.8579,-7.3047
98590,8.2744,0.4764,-6.2968
98618,9.9048,-1.4365,-3.9121
98646,11.2647,-2.387,-2.4397
98674,9.0788,-4.8794,-1.8675
98702,0.8308,-4.561,0.5459
98730,-2.8228,-4.5705,-0.2203
98758,-6.0669,-7.6088,-1.4509
98787,-8.8155,-9.3541,-4.2018
98815,-13.1466,-7.1874,-11.825
98843,-14.8464,-1.7813,-15.5839
98871,-16.7163,-0.4717,-14.37
98899,-19.168,-2.5786,-12.2918
98927,-19.0411,-4.027,-13.2471
98955,-17.7626,-2.4804,-15.2008
98984,-19.3595,3.0957,-15.6485
99012,-19.7593,4.2066,-15.6317
99040,-16.4649,5.8442,-17.5327
99068,-13.307,7.4939,-15.4713
99096,-12.3948,4.3527,-11.9734
99124,-9.0788,6.0238,-16.6493
99152,-5.2888,7.7907,-17.8033
99180,-2.8252,6.6415,-13.0245
99209,-2.4445,6.2872,-10.0676
99237,2.7007,4.0175,-8.5497
99265,5.2481,3.225,-5.94
99293,4.7501,3.9768,-4.8722
99321,3.9169,2.241,-2.976
99349,6.0525,0.1053,-0.9984
99377,7.6998,-1.9106,-0.2586
99405,3.4357,-2.5498,-0.2801
99433,-2.32,-2.229,-0.4501
99461,-2.0087,-4.7046,0.4357
99489,-4.9201,-4.6974,-4.5538
99518,-6.7612,-0.9888,-10.1227
99546,-8.5018,-3.9409,-10.568
99574,-14.8536,-2.715,-14.9278
99602,-19.5654,1.8651,-19.4505
