timestamp,ax,ay,az
82621,-19.1225,-1.9273,-17.0276
82649,-23.4057,-1.2234,-20.808
82678,-23.1854,-1.8483,-21.6915
82706,-21.6484,-0.9912,-22.97
82734,-19.3954,1.0702,-23.547
82762,-16.6325,0.5842,-23.8439
82790,-12.1841,-0.6512,-23.8893
82818,-8.576,0.395,-24.1431
82846,-5.8514,3.134,-24.4831
82875,-1.7358,3.0454,-20.1472
82903,1.0343,1.7837,-12.8593
82931,1.7095,2.4134,-9.5912
82959,3.3136,2.0327,-7.7764
82987,4.9368,1.5251,-5.8682
83015,3.1867,1.087,-3.5051
83043,0.8284,-1.1444,-1.6161
83071,0.826,-3.0047,2.5474
83099,-0.5291,-3.3232,5.0087
83127,-1.9585,-4.4365,3.5099
83155,-3.9887,-4.3335,-4.5633
83184,-3.1891,-4.379,-7.1204
83212,-4.8435,-6.4643,-6.7852
83240,-10.4579,-1.7837,-12.8449
83268,-14.2311,-2.9353,-17.1161
83296,-18.8232,-4.7333,-19.0722
83324,-21.6532,-3.5219,-21.3228
83352,-21.1384,0.929,-25.4049
83381,-18.1696,0.4118,-25.0026
83409,-17.2287,2.9808,-25.7544
83437,-16.9342,2.3822,-24.9787
83465,-12.9095,-1.2641,-24.7896
83493,-5.3965,-1.3551,-21.3323
83521,-1.8794,3.146,-18.3635
83549,0.3567,4.446,-15.3277
83577,2.1955,1.7933,-9.9599
83605,2.7102,2.9951,-6.9001
83633,4.4915,3.7014,-6.3949
83662,6.0358,2.3032,-6.3494
83690,4.7621,0.431,-4.3072
83718,2.8754,-1.6496,-0.5842
83746,1.6257,-3.2753,2.4972
83774,0.0838,-3.7517,3.9552
83802,-1.7334,-4.6974,1.8364
83830,-3.3399,-5.8802,-2.7318
83858,-4.063,-4.5777,-7.173
83886,-5.0566,-2.2146,-11.5041
83914,-9.0381,-2.3056,-13.113
83943,-13.6158,-2.4134,-15.2295
83971,-15.9645,-1.0918,-18.5239
83999,-16.5607,-0.2227,-20.7075
84027,-15.8688,0.5315,-20.8296
84055,-19.4026,3.2513,-20.4656
84083,-20.6069,4.5059,-21.1959
84111,-16.9486,5.2768,-21.4305
84140,-11.5999,2.9042,-18.0355
84168,-7.908,2.5474,-16.2399
84196,-6.4021,5.0326,-17.7267
84224,-3.893,5.0494,-17.5399
84252,-0.0239,2.6647,-11.552
84280,0.589,4.6495,-8.6383
84308,3.055,4.5394,-7.1228
84336,4.7453,3.5171,-5.5641
84364,3.8499,2.9257,-3.9433
84392,4.3311,2.6983,-2.7366
84421,4.64,1.8627,-1.9106
84449,4.2329,-0.079,-0.4405
84477,4.7477,-1.5945,2.0327
84505,3.6559,-1.0463,0.1867
84533,0.9433,-2.2769,-0.6321
84561,-3.4572,-5.193,-2.5211
84589,-6.3087,0.2825,-8.2768
