timestamp,ax,ay,az
103622,3.9121,5.9783,-7.2664
103650,5.114,6.1723,-6.7397
103678,5.7557,5.5593,-5.8107
103706,5.2912,4.9943,-5.3247
103734,4.8722,4.7573,-5.1763
103762,3.7086,2.6217,-4.2329
103791,2.5259,0.3424,-2.4852
103819,0.8021,-1.2258,0.2131
103847,0.4932,-3.201,1.7765
103875,-1.0774,-4.4652,0.1365
103903,-4.4101,-3.1077,-4.1276
103931,-5.9233,-1.5874,-6.1675
103959,-7.3717,-2.8683,-6.5673
103987,-12.2463,-1.7334,-9.9934
104015,-14.9733,-1.6113,-12.3996
104044,-16.8528,-0.5339,-15.0116
104072,-19.5894,0.6177,-17.3053
104100,-19.472,1.506,-18.3635
104128,-18.9405,3.6512,-20.3938
104156,-15.6988,3.7397,-21.0905
104184,-13.4075,4.8842,-21.1887
104212,-10.2256,3.6607,-22.539
104240,-7.5561,3.2465,-22.1128
104269,-4.2425,3.2729,-17.9637
104297,-3.6033,4.2713,-11.3246
104325,-1.834,6.9121,-10.7811
104353,-1.233,6.7469,-10.0748
104381,-0.4429,2.8898,-7.5058
104409,3.4093,1.6975,-5.9376
104437,4.5825,3.3567,-5.8131
104465,5.2792,2.6217,-4.9608
104493,5.5186,1.1947,-2.727
104521,5.2529,1.7478,-2.478
104549,6.0142,0.7853,-2.7485
104578,3.7613,-0.3735,-1.5969
104606,-0.2155,-1.5371,0.7733
104634,-2.3942,-2.8587,0.1149
104662,-3.0023,-3.2154,-3.4453
104690,-5.6048,-4.3694,-5.5282
104718,-11.1115,-0.5291,-10.41
104746,-10.252,-2.909,-11.0636
104774,-14.1473,0.1341,-13.3908
104803,-19.2949,1.9848,-17.0371
104831,-20.0969,0.6033,-17.5926
104859,-21.6987,1.652,-18.0044
104887,-20.8703,4.6878,-19.7665
104915,-18.9429,4.0893,-20.6452
104943,-16.4577,2.7653,-18.6532
104971,-12.9981,-0.4022,-17.2646
104999,-9.6319,0.7805,-17.6333
105028,-5.6383,3.8499,-18.5048
105056,-3.3232,3.802,-15.8927
105084,-2.2194,4.853,-10.7308
105112,-1.8818,6.8618,-7.932
105140,-1.1564,7.0844,-6.5003
105168,0.3903,5.4851,-4.8961
105196,1.1708,5.6575,-4.5777
105224,1.992,3.7661,-2.7821
105252,4.0725,2.0901,-1.7502
105280,5.1308,1.8052,-1.664
105309,3.9025,1.0367,-1.2689
105337,2.8563,-0.6057,-0.826
105365,2.7054,-1.5419,0.1173
105393,-0.2346,-1.7023,-0.6847
105421,-2.083,-1.4892,-3.4931
105449,-5.4803,-0.7877,-5.7461
105477,-7.9631,1.6017,-7.5992
105505,-9.256,0.2131,-8.1618
105533,-11.971,0.6033,-10.9008
105562,-15.9645,2.2697,-14.9542
105590,-19.0171,3.3255,-16.6229
